body_pos_x	body_pos_y	body_pos_z	body_quat_w	body_quat_x	body_quat_y	body_quat_z	joint_pos00	joint_pos01	joint_pos02	joint_pos03	joint_pos04	joint_pos05	joint_pos06	joint_pos07	joint_pos08	joint_pos09	joint_pos10	joint_pos11	joint_pos12	joint_pos13	joint_pos14	joint_pos15	joint_pos16	joint_pos17	joint_pos18	joint_pos19	joint_pos20	joint_vel_00	joint_vel_01	joint_vel_02	joint_vel_03	joint_vel_04	joint_vel_05	joint_vel_06	joint_vel_07	joint_vel_08	joint_vel_09	joint_vel_10	joint_vel_11	joint_vel_12	joint_vel_13	joint_vel_14	joint_vel_15	joint_vel_16	joint_vel_17	joint_vel_18	joint_vel_19	joint_vel_20
0.648642	0.955739	0.717776	0.913520	-0.023639	-0.034550	-0.404635	-0.302340	-1.145562	-0.112724	-0.806689	1.235962	-0.275114	-0.170417	-0.652559	-0.178361	-1.325378	0.592502	-0.501009	0.261799	-0.818330	0.114191	-1.041178	-1.538923	-1.218775	0.082146	0.646435	-1.222175	-0.004265	-0.309145	0.352756	-0.025524	0.212052	-0.412262	-0.023721	0.229166	0.167432	0.594229	-0.575937	0.183331	0.000000	0.065789	-0.032534	-0.032318	-0.125292	-0.152141	-0.014112	0.008473	0.381893
0.649904	0.954530	0.717717	0.911389	-0.023817	-0.032930	-0.409534	-0.302117	-1.151705	-0.104573	-0.806622	1.240646	-0.284512	-0.170933	-0.648251	-0.175902	-1.312838	0.581636	-0.497298	0.261799	-0.816956	0.113611	-1.041771	-1.541418	-1.221816	0.081934	0.646632	-1.214597	0.043017	-0.309053	0.487246	0.050488	0.248581	-0.543450	-0.052559	0.212124	0.063229	0.686020	-0.506018	0.184861	0.000000	0.075893	-0.025049	-0.025064	-0.124741	-0.150087	-0.002783	0.005084	0.374666
0.651513	0.953170	0.717657	0.908303	-0.024100	-0.031389	-0.416438	-0.300619	-1.157924	-0.093234	-0.804670	1.245905	-0.296852	-0.172520	-0.644074	-0.175832	-1.297938	0.572261	-0.493614	0.261799	-0.815294	0.113189	-1.042181	-1.543913	-1.224778	0.082035	0.646639	-1.207188	0.105169	-0.310710	0.664100	0.140031	0.288352	-0.649979	-0.053689	0.215530	-0.061214	0.827262	-0.437848	0.186469	0.000000	0.096810	-0.018111	-0.013238	-0.125554	-0.142270	0.016405	-0.006258	0.365558
0.653376	0.951669	0.717663	0.903984	-0.024549	-0.029944	-0.425810	-0.297910	-1.164134	-0.078009	-0.801020	1.252180	-0.310511	-0.173081	-0.639630	-0.178350	-1.279748	0.564122	-0.489839	0.261799	-0.813083	0.112887	-1.042300	-1.546440	-1.227507	0.082590	0.646381	-1.199975	0.196440	-0.317800	0.829368	0.234959	0.319344	-0.710952	-0.069209	0.235230	-0.184151	0.984240	-0.367190	0.202119	0.000000	0.130710	-0.012105	0.006977	-0.128853	-0.125003	0.043063	-0.022110	0.353956
0.655785	0.949999	0.717734	0.898425	-0.025079	-0.028391	-0.437491	-0.292762	-1.170636	-0.060060	-0.795272	1.258679	-0.325290	-0.175288	-0.634665	-0.183198	-1.258568	0.557574	-0.485530	0.261799	-0.810066	0.112705	-1.041902	-1.549067	-1.229778	0.083758	0.645754	-1.193030	0.316911	-0.315747	1.045784	0.340019	0.336170	-0.778810	-0.056804	0.272104	-0.304995	1.181898	-0.310419	0.238434	0.000000	0.172611	-0.001662	0.034866	-0.134116	-0.095040	0.081470	-0.043902	0.337768
0.658406	0.947784	0.718022	0.890735	-0.025817	-0.026951	-0.452989	-0.285234	-1.176764	-0.036177	-0.787420	1.265627	-0.341664	-0.175353	-0.628746	-0.190550	-1.232472	0.551705	-0.480302	0.261799	-0.806179	0.112820	-1.040905	-1.551805	-1.231309	0.085849	0.644625	-1.186464	0.489989	-0.263277	1.325116	0.478096	0.320700	-0.876088	-0.075829	0.297295	-0.415467	1.396435	-0.264296	0.285335	0.000000	0.222412	0.007487	0.056386	-0.139570	-0.050277	0.147414	-0.092834	0.316399
0.661274	0.945453	0.718414	0.880843	-0.026929	-0.025880	-0.471933	-0.273162	-1.181167	-0.007055	-0.776148	1.271507	-0.360334	-0.178321	-0.622773	-0.199817	-1.202711	0.547002	-0.474116	0.261799	-0.801170	0.113004	-1.039647	-1.554650	-1.231789	0.089654	0.642041	-1.180374	0.714285	-0.140381	1.566845	0.677341	0.240949	-0.962690	-0.227430	0.313966	-0.540376	1.546997	-0.195694	0.331898	0.000000	0.282079	0.012892	0.068402	-0.145018	0.010505	0.227811	-0.145416	0.292274
0.664736	0.942815	0.718899	0.868542	-0.028025	-0.024863	-0.494197	-0.256662	-1.182379	0.026496	-0.760326	1.275265	-0.380171	-0.184450	-0.616187	-0.212165	-1.170592	0.543877	-0.467026	0.261799	-0.794896	0.113336	-1.038169	-1.557606	-1.230888	0.094961	0.638809	-1.174773	0.986885	0.177228	1.968235	1.113965	-0.120333	-1.015665	-0.204898	0.885239	-1.026352	2.292114	0.472920	0.266500	0.000000	1.091620	0.050442	0.209245	-0.429973	0.304076	0.938273	-0.476773	0.798646
0.668607	0.940223	0.720104	0.852281	-0.029153	-0.023670	-0.521735	-0.233687	-1.174078	0.071674	-0.731589	1.266694	-0.400961	-0.186517	-0.587364	-0.240871	-1.111026	0.565919	-0.463456	0.261799	-0.757505	0.115022	-1.031277	-1.571849	-1.219626	0.127185	0.622970	-1.148428	0.959665	0.348383	2.260418	1.330180	-0.248703	-1.029044	-0.194538	1.107901	-1.207476	2.588439	0.717810	0.381581	0.000000	1.302484	0.043848	0.260121	-0.490007	0.496396	1.095168	-0.554056	0.848472
0.672574	0.937014	0.721159	0.836345	-0.031395	-0.022542	-0.546840	-0.218276	-1.168443	0.116913	-0.707119	1.265317	-0.421333	-0.192232	-0.571871	-0.260464	-1.067054	0.572590	-0.451762	0.261799	-0.742796	0.115090	-1.027765	-1.577206	-1.211033	0.138768	0.616646	-1.140835	0.912574	0.647715	2.473198	1.613435	-0.409126	-0.955174	-0.216550	1.405789	-1.320419	2.882917	0.969973	0.612054	0.000000	1.229054	0.010697	0.338960	-0.449321	0.803977	1.003661	-0.544463	0.606015
