body_pos_x,body_pos_y,body_pos_z,body_quat_w,body_quat_x,body_quat_y,body_quat_z,joint_pos_00,joint_pos_01,joint_pos_02,joint_pos_03,joint_pos_04,joint_pos_05,joint_pos_06,joint_pos_07,joint_pos_08,joint_pos_09,joint_pos_10,joint_pos_11,joint_pos_12,joint_pos_13,joint_pos_14,joint_pos_15,joint_pos_16,joint_pos_17,joint_pos_18,joint_pos_19,joint_pos_20,joint_vel_00,joint_vel_01,joint_vel_02,joint_vel_03,joint_vel_04,joint_vel_05,joint_vel_06,joint_vel_07,joint_vel_08,joint_vel_09,joint_vel_10,joint_vel_11,joint_vel_12,joint_vel_13,joint_vel_14,joint_vel_15,joint_vel_16,joint_vel_17,joint_vel_18,joint_vel_19,joint_vel_20
-0.418150,-0.228852,0.747205,-0.763362,0.064984,-0.022869,0.642287,0.015028,-0.865785,-0.138622,-0.417397,0.356112,0.503025,0.113593,-0.074862,0.166979,-0.244308,0.401531,-0.319707,0.049309,0.920445,0.740913,-0.272852,0.033772,1.208163,-0.159968,0.119043,0.087260,-0.612370,1.511666,0.878737,1.063732,-1.277500,-0.875299,1.765755,-0.516332,-0.114232,0.041604,0.162469,-0.414389,0.028568,3.499696,0.093757,3.828437,-2.971061,0.634262,0.174186,-3.116353,-0.744517
-0.418537,-0.231893,0.746445,-0.764090,0.065009,-0.022197,0.641442,-0.000098,-0.852827,-0.126100,-0.409883,0.350109,0.482265,0.134257,-0.083241,0.164198,-0.240541,0.406351,-0.329168,0.049523,0.980486,0.742456,-0.196949,-0.041786,1.204675,-0.161142,0.064135,0.057479,-0.824548,-0.696076,0.090474,-0.487581,1.446100,-1.144559,0.338766,-0.036292,-0.167093,0.448121,0.678778,-0.660491,-0.011227,2.433379,0.076978,3.664349,-4.404697,-0.917736,-0.225383,-2.376874,-2.200946
-0.418695,-0.234526,0.745347,-0.764468,0.064687,-0.021751,0.641040,-0.017954,-0.893628,-0.135003,-0.436900,0.413956,0.457243,0.127143,-0.076313,0.160295,-0.226383,0.428683,-0.346126,0.048860,1.017780,0.743992,-0.126278,-0.142416,1.171453,-0.168983,0.023968,-0.000778,-0.866941,-2.994013,-0.918705,-2.087551,4.430011,-1.204523,-0.683054,0.826329,-0.233063,0.989813,1.647380,-1.049340,-0.057271,1.190874,0.083005,3.281889,-5.513611,-2.401212,-0.503121,-1.604392,-3.357190
-0.418488,-0.236511,0.743796,-0.764200,0.063649,-0.021555,0.641469,-0.034776,-0.972588,-0.162848,-0.493385,0.527310,0.434084,0.106935,-0.050187,0.154876,-0.200949,0.472246,-0.371142,0.047232,1.028121,0.745776,-0.065673,-0.262331,1.108627,-0.181267,-0.000041,-0.076808,-0.660043,-4.355198,-1.701550,-3.147535,6.255133,-1.144416,-0.993907,1.654063,-0.297981,1.416221,2.521550,-1.356655,-0.095831,-0.206393,0.073294,2.670402,-6.295349,-3.795287,-0.677433,-0.788183,-4.392542
-0.417933,-0.237847,0.741833,-0.763055,0.062085,-0.021841,0.642974,-0.044356,-1.067836,-0.203065,-0.562801,0.664161,0.411466,0.087387,-0.010151,0.148376,-0.169734,0.529545,-0.400392,0.045026,1.009525,0.746924,-0.019462,-0.394230,1.019642,-0.196080,-0.007559,-0.176480,-0.222587,-4.771140,-2.190781,-3.518918,7.052579,-1.335316,-0.844808,2.167498,-0.354658,1.584233,2.969843,-1.463330,-0.118136,-1.656473,-0.002587,1.862132,-6.645267,-4.995667,-0.751048,0.032882,-5.501598
-0.416953,-0.238789,0.739637,-0.761262,0.060078,-0.022343,0.645268,-0.043680,-1.163433,-0.250479,-0.634142,0.809413,0.380671,0.073142,0.036513,0.140689,-0.137580,0.591040,-0.429675,0.042506,0.961862,0.745673,0.008812,-0.528141,0.908800,-0.211309,0.001274,-0.296872,0.257923,-4.248059,-2.275065,-3.302768,6.784006,-1.632697,-0.634565,2.151666,-0.400222,1.473111,2.713737,-1.282270,-0.099181,-3.153795,-0.216387,0.829974,-6.553450,-6.049266,-0.707037,0.892675,-6.457334
-0.415475,-0.239508,0.737938,0.758566,-0.057323,0.023019,-0.648662,-0.034039,-1.237759,-0.294068,-0.694912,0.935522,0.346158,0.062004,0.075916,0.132367,-0.110810,0.638094,-0.451683,0.041059,0.883373,0.738269,0.013737,-0.656368,0.777671,-0.224362,0.028148,-0.434773,0.621633,-3.134122,-1.959849,-2.773870,5.767940,-1.834165,-0.514057,1.544588,-0.415465,1.099584,1.681878,-0.789500,-0.024992,-4.593922,-0.605333,-0.360329,-6.032129,-6.956902,-0.568857,1.762628,-7.128058
-0.413478,-0.240343,0.737612,0.755111,-0.053641,0.023874,-0.652963,-0.018814,-1.288798,-0.328873,-0.745097,1.040130,0.307305,0.052580,0.098296,0.124071,-0.093596,0.658315,-0.461255,0.041507,0.778105,0.721460,-0.005601,-0.769427,0.630524,-0.234063,0.071780,-0.581995,0.790708,-2.274358,-1.536546,-2.375306,5.103463,-2.200161,-0.488278,0.836812,-0.478658,0.745448,0.535357,-0.265442,0.075778,-5.894751,-1.204725,-1.612551,-5.003241,-7.747561,-0.366170,2.605606,-7.326486
-0.410807,-0.241680,0.738399,0.751077,-0.049080,0.024851,-0.657918,-0.002410,-1.328733,-0.355530,-0.789924,1.139660,0.258152,0.042473,0.109388,0.113221,-0.080992,0.659508,-0.462301,0.044090,0.647583,0.690080,-0.050765,-0.856497,0.467769,-0.239008,0.132372,-0.727832,0.743681,-1.692545,-1.121770,-2.162579,4.722893,-2.421112,-0.461875,0.260894,-0.617610,0.517029,-0.425902,0.170308,0.176302,-7.104945,-1.986884,-2.915300,-3.493135,-8.450945,-0.086761,3.447851,-7.036230
-0.407340,-0.243802,0.740326,0.746935,-0.043539,0.026112,-0.662956,0.010933,-1.356500,-0.373744,-0.831600,1.229046,0.210460,0.034105,0.108732,0.099366,-0.072915,0.641279,-0.454443,0.048559,0.493908,0.641984,-0.122213,-0.909152,0.292486,-0.237534,0.209694,-0.863444,0.542906,-1.155028,-0.750100,-2.059539,4.205468,-2.154183,-0.275143,-0.534127,-0.732280,0.110720,-1.679686,0.741766,0.243613,-8.150103,-2.823262,-4.168039,-1.683240,-9.004552,0.255137,4.225679,-6.363197
-0.403059,-0.246842,0.743649,0.743102,-0.037183,0.027668,-0.667571,0.019306,-1.374934,-0.385534,-0.872306,1.307879,0.171985,0.031467,0.088023,0.083930,-0.076563,0.592321,-0.432630,0.053835,0.321579,0.577149,-0.217487,-0.923827,0.107586,-0.228803,0.301399,-0.982360,0.302955,-0.740886,-0.418707,-1.932520,3.626558,-1.635547,0.213327,-1.293690,-0.810258,-0.376641,-2.897808,1.310252,0.262601,-8.741842,-3.598653,-5.260071,0.037707,-9.470923,0.648641,4.880468,-5.354071
-0.397948,-0.250628,0.747352,0.739835,-0.030088,0.029672,-0.671460,0.023051,-1.386136,-0.390492,-0.908901,1.374109,0.145038,0.042638,0.056984,0.066956,-0.087981,0.525367,-0.402033,0.059063,0.144234,0.498038,-0.332616,-0.907644,-0.086351,-0.211588,0.404912,-1.077607,0.122630,-0.396326,-0.103670,-1.720259,2.932849,-1.094651,0.782187,-1.444676,-0.886656,-0.569045,-3.308625,1.540105,0.238702,-8.869040,-4.158302,-6.006125,1.269908,-9.894384,1.062557,5.351232,-4.086731
-0.392114,-0.254702,0.750473,0.737171,-0.022538,0.032187,-0.674563,0.024211,-1.390787,-0.389681,-0.941116,1.425193,0.128199,0.062755,0.030236,0.048463,-0.099325,0.459976,-0.371026,0.063383,-0.033183,0.410817,-0.457732,-0.873030,-0.288189,-0.186301,0.515448,-1.145829,0.012751,-0.047442,0.210043,-1.505451,2.091876,-0.643799,1.023098,-1.042195,-0.940192,-0.428622,-2.972022,1.446906,0.199466,-8.869943,-4.439334,-6.297608,1.932542,-10.211294,1.435103,5.532761,-2.628437
-0.385777,-0.258477,0.752770,0.735032,-0.014601,0.035363,-0.676952,0.023561,-1.388033,-0.382090,-0.969119,1.457784,0.119286,0.083562,0.015296,0.029348,-0.105126,0.406486,-0.344157,0.067041,-0.210564,0.320465,-0.584520,-0.830342,-0.494802,-0.154184,0.626223,-1.182744,-0.035407,0.344354,0.532203,-1.342066,1.130795,-0.338388,0.875732,-0.255304,-0.949594,-0.008334,-2.110432,1.140522,0.166314,-8.869040,-4.456604,-6.184316,2.147289,-10.296068,1.714485,5.393359,-1.131481
-0.379172,-0.261570,0.754429,0.733319,-0.006502,0.039030,-0.678733,0.022795,-1.377013,-0.368393,-0.994799,1.470425,0.114663,0.097784,0.020024,0.010480,-0.099658,0.375559,-0.325405,0.070036,-0.387945,0.232553,-0.705105,-0.787139,-0.700032,-0.117721,0.731183,-1.191089,0.014491,0.753272,0.800692,-1.206465,0.175449,-0.235684,0.447009,0.769866,-0.942959,0.593717,-0.930575,0.677672,0.124571,-8.869943,-4.231639,-5.717453,2.031036,-10.094503,1.861169,4.975569,0.162557
-0.372380,-0.263925,0.755462,-0.731940,-0.001357,-0.042893,0.680017,0.024141,-1.357902,-0.350063,-1.017377,1.464802,0.109859,0.101442,0.046091,-0.008370,-0.081377,0.369263,-0.317050,0.072024,-0.565361,0.151199,-0.813218,-0.749101,-0.898582,-0.079737,0.825245,-1.176242,0.133229,1.288506,0.975282,-1.082927,-0.759989,-0.062022,0.142632,1.603993,-0.945311,1.097342,0.058158,0.242415,0.108469,-8.869943,-3.794036,-4.964916,1.617526,-9.597424,1.871575,4.307127,1.182160
-0.365336,-0.265655,0.755926,-0.730618,-0.008652,-0.046748,0.681129,0.028124,-1.325473,-0.329381,-1.038116,1.440025,0.112182,0.103490,0.084184,-0.027333,-0.055764,0.377885,-0.315709,0.074374,-0.742742,0.080792,-0.903701,-0.722438,-1.083929,-0.042858,0.903468,-1.143802,0.290633,2.035597,1.158538,-0.975478,-1.787025,-0.004767,-0.057777,1.731084,-0.928620,1.104609,0.284040,0.119301,0.152590,-8.869040,-3.198782,-4.055269,0.947085,-8.857991,1.762211,3.498946,1.847571
-0.358033,-0.267296,0.756222,-0.729144,-0.015232,-0.050423,0.682331,0.035766,-1.276479,-0.303721,-1.056397,1.393321,0.109668,0.099131,0.115334,-0.045515,-0.037193,0.380625,-0.312278,0.078128,-0.920123,0.023248,-0.975429,-0.711217,-1.252902,-0.009249,0.965203,-1.102339,0.461884,2.843580,1.644592,-0.751674,-3.093135,-0.670816,-0.641284,1.420022,-0.914278,0.771899,0.094678,0.173415,0.232788,-8.520013,-2.518670,-3.096993,0.126079,-7.943898,1.561966,2.657747,2.162745
-0.350407,-0.268893,0.756276,-0.727571,-0.020974,-0.053827,0.683596,0.046599,-1.211730,-0.263598,-1.068183,1.316300,0.085349,0.077838,0.140985,-0.063904,-0.024888,0.381672,-0.308772,0.083686,-1.083543,-0.019955,-1.027581,-0.717395,-1.401685,0.019620,1.009778,-1.057292,0.591090,3.869024,2.592705,0.010464,-5.171812,-1.546269,-1.634673,1.145231,-0.932724,0.457326,0.058916,0.177822,0.334911,-6.680620,-1.812907,-2.162124,-0.728621,-6.882277,1.304525,1.836895,2.242795
-0.342440,-0.270383,0.762227,-0.726040,-0.025823,-0.056716,0.684823,0.059410,-1.121718,-0.200013,-1.055978,1.186448,0.047817,0.033744,0.161144,-0.082824,-0.018899,0.382981,-0.305165,0.091524,-1.187348,-0.049268,-1.061914,-0.740362,-1.528193,0.042932,1.038679,-1.012627,0.666198,5.370238,3.447834,1.617837,-7.907701,-1.881829,-2.792257,0.878850,-0.945663,0.152632,0.067814,0.204734,0.447664,-4.666000,-1.175330,-1.359758,-1.470143,-5.714375,1.019722,1.132837,2.140467
-0.334243,-0.271681,0.774835,-0.724605,-0.029760,-0.058632,0.686020,0.073247,-0.996920,-0.125684,-1.003469,0.999992,0.010076,-0.033852,0.176139,-0.101730,-0.018783,0.384385,-0.300583,0.101592,-1.270183,-0.066968,-1.081971,-0.776200,-1.630260,0.060409,1.055091,-0.971674,0.692726,6.513965,3.716815,3.469115,-9.424889,-1.996551,-3.552667,0.596401,-0.945093,-0.128004,0.070707,0.282212,0.559901,-3.582096,-0.650096,-0.716996,-1.960075,-4.386416,0.708402,0.574005,1.917458
-0.325884,-0.272866,0.781500,0.723381,0.032665,0.058888,-0.687157,0.087119,-0.861159,-0.051340,-0.917213,0.809453,-0.032045,-0.108362,0.185000,-0.120628,-0.024020,0.385809,-0.293876,0.113920,-1.330632,-0.075272,-1.090594,-0.818765,-1.703650,0.071268,1.061639,-0.935929,0.653474,6.771999,3.716815,4.737944,-9.525988,-2.169016,-3.304081,0.131763,-0.983229,-0.482532,-0.016059,0.419891,0.651572,-2.506938,-0.277640,-0.273460,-2.077611,-2.976772,0.409730,0.192034,1.644491
-0.317236,-0.274174,0.779371,0.722373,0.034552,0.057332,-0.688256,0.099386,-0.726040,0.022988,-0.813952,0.618952,-0.076684,-0.166015,0.181409,-0.141060,-0.038084,0.383742,-0.283787,0.127655,-1.370460,-0.078074,-1.092910,-0.859305,-1.749330,0.076798,1.062772,-0.905894,0.530277,6.264380,3.716437,5.187807,-9.335863,-2.047151,-2.116491,-0.863910,-1.092988,-1.218564,-0.414698,0.719926,0.677437,-1.446775,-0.066929,-0.055411,-1.774906,-1.527315,0.155016,-0.001016,1.356119
