body_pos_x,body_pos_y,body_pos_z,body_quat_w,body_quat_x,body_quat_y,body_quat_z,joint_pos_00,joint_pos_01,joint_pos_02,joint_pos_03,joint_pos_04,joint_pos_05,joint_pos_06,joint_pos_07,joint_pos_08,joint_pos_09,joint_pos_10,joint_pos_11,joint_pos_12,joint_pos_13,joint_pos_14,joint_pos_15,joint_pos_16,joint_pos_17,joint_pos_18,joint_pos_19,joint_pos_20,joint_vel_00,joint_vel_01,joint_vel_02,joint_vel_03,joint_vel_04,joint_vel_05,joint_vel_06,joint_vel_07,joint_vel_08,joint_vel_09,joint_vel_10,joint_vel_11,joint_vel_12,joint_vel_13,joint_vel_14,joint_vel_15,joint_vel_16,joint_vel_17,joint_vel_18,joint_vel_19,joint_vel_20
-0.001032,0.005640,0.760918,0.685484,0.008965,0.025467,-0.727587,0.003010,-0.423060,-0.032061,-0.280889,0.558103,-0.298445,0.052333,0.360344,0.092323,0.330126,0.531481,-0.305110,-0.029431,-0.103747,0.049419,-0.507907,-0.132306,-0.062128,-0.035892,0.539320,-0.134280,0.014076,-0.003052,0.002105,-0.013646,0.018346,0.009726,0.009883,-0.016863,-0.000038,-0.024292,0.002564,-0.008969,-0.000015,-0.139872,0.016013,-0.297420,-0.176129,-0.093317,-0.007527,0.388044,-0.184786
-0.001137,0.005540,0.760917,0.685447,0.008992,0.025432,-0.727623,0.003244,-0.423012,-0.032015,-0.281280,0.558396,-0.298384,0.053015,0.359972,0.092300,0.329691,0.531504,-0.305359,-0.029092,-0.106486,0.049732,-0.513713,-0.135797,-0.063943,-0.036041,0.546926,-0.137940,0.012993,0.000838,-0.000294,-0.006598,0.014438,-0.004094,0.004917,-0.015824,-0.002692,-0.019126,0.002608,-0.007249,-0.006646,-0.133962,0.015167,-0.284274,-0.173056,-0.088811,-0.007432,0.372335,-0.181528
-0.001170,0.005407,0.760954,0.685425,0.009000,0.025419,-0.727644,0.003529,-0.423026,-0.032073,-0.281153,0.558680,-0.298608,0.052530,0.359711,0.092215,0.329361,0.531585,-0.305400,-0.029697,-0.109105,0.050026,-0.519278,-0.139228,-0.065681,-0.036189,0.554214,-0.141541,0.006838,0.003559,0.001319,-0.002827,0.014628,-0.002905,-0.014249,-0.013953,-0.001263,-0.016214,0.005053,-0.004565,-0.022513,-0.127797,0.014251,-0.272582,-0.170020,-0.085394,-0.007383,0.355560,-0.178529
-0.001278,0.005280,0.760937,0.685440,0.009012,0.025369,-0.727632,0.003518,-0.422869,-0.031963,-0.281393,0.558981,-0.298500,0.052445,0.359414,0.092249,0.329042,0.531706,-0.305541,-0.029993,-0.111598,0.050302,-0.524616,-0.142598,-0.067359,-0.036336,0.561148,-0.145082,-0.000805,0.005426,0.003006,-0.007007,0.014743,0.008424,0.016486,-0.015226,0.000142,-0.016911,0.006819,-0.010333,-0.003912,-0.121329,0.013389,-0.262280,-0.166969,-0.082423,-0.007253,0.337821,-0.175597
-0.001357,0.005166,0.760950,0.685494,0.009022,0.025345,-0.727581,0.003497,-0.422809,-0.031953,-0.281433,0.559270,-0.298271,0.053190,0.359102,0.092221,0.328685,0.531858,-0.305814,-0.029853,-0.113958,0.050561,-0.529769,-0.145907,-0.068978,-0.036479,0.567727,-0.148565,-0.000810,0.003927,-0.000829,0.004970,0.012717,0.003207,0.001651,-0.012386,-0.002232,-0.010706,0.007354,-0.007457,-0.015349,-0.114685,0.012479,-0.253387,-0.163964,-0.079965,-0.007217,0.320195,-0.172936
-0.001382,0.005030,0.760986,0.685540,0.009042,0.025308,-0.727539,0.003485,-0.422712,-0.031996,-0.281194,0.559490,-0.298372,0.052511,0.358918,0.092160,0.328614,0.532000,-0.305839,-0.030607,-0.116185,0.050801,-0.534751,-0.149157,-0.070558,-0.036625,0.573956,-0.151999,-0.004382,0.005212,0.002808,0.009824,0.012501,0.003760,-0.016686,-0.009602,0.000724,-0.005452,0.007892,-0.003632,-0.024623,-0.108236,0.011465,-0.244199,-0.160929,-0.078163,-0.007330,0.302099,-0.170463
-0.001477,0.004928,0.760963,0.685581,0.009052,0.025284,-0.727501,0.003322,-0.422601,-0.031841,-0.281040,0.559770,-0.298121,0.052522,0.358718,0.092250,0.328467,0.532174,-0.305959,-0.030838,-0.118288,0.051020,-0.539537,-0.152344,-0.072104,-0.036772,0.579811,-0.155383,-0.006641,0.006427,0.005359,0.001755,0.009571,0.009365,0.016417,-0.010407,0.002207,-0.007489,0.006840,-0.011830,-0.003717,-0.102118,0.010665,-0.235325,-0.157950,-0.076140,-0.007329,0.284885,-0.168022
-0.001540,0.004848,0.760958,0.685606,0.009067,0.025264,-0.727477,0.003220,-0.422455,-0.031781,-0.281124,0.559873,-0.297997,0.053168,0.358502,0.092248,0.328314,0.532274,-0.306313,-0.030755,-0.120270,0.051228,-0.544164,-0.155475,-0.073603,-0.036918,0.585351,-0.158720,0.000423,0.005740,0.000150,0.003032,0.006814,0.005452,-0.004806,-0.007324,-0.001749,-0.005761,0.006972,-0.007056,-0.016408,-0.096412,0.009947,-0.226560,-0.155033,-0.073549,-0.007358,0.269973,-0.165589
-0.001560,0.004732,0.760989,0.685603,0.009094,0.025233,-0.727481,0.003339,-0.422371,-0.031835,-0.280919,0.560043,-0.297903,0.052330,0.358425,0.092180,0.328236,0.532453,-0.306241,-0.031495,-0.122144,0.051418,-0.548599,-0.158546,-0.075046,-0.037067,0.590609,-0.162007,0.004571,0.002834,0.001702,0.007037,0.008740,0.008717,-0.020971,-0.005910,0.000332,-0.006261,0.006804,-0.004970,-0.017007,-0.091374,0.009303,-0.216547,-0.152097,-0.070732,-0.007509,0.256662,-0.163075
-0.001656,0.004657,0.760974,0.685586,0.009110,0.025219,-0.727498,0.003403,-0.422342,-0.031713,-0.280842,0.560223,-0.297648,0.052329,0.358265,0.092262,0.328064,0.532546,-0.306511,-0.031435,-0.123925,0.051600,-0.552826,-0.161558,-0.076432,-0.037218,0.595618,-0.165243,0.007223,0.003100,0.004297,0.002970,0.009547,0.010588,0.025915,-0.009570,0.001288,-0.011800,0.005090,-0.012601,0.011009,-0.087046,0.008994,-0.206406,-0.149254,-0.067552,-0.007573,0.245494,-0.160470
