body_pos_x,body_pos_y,body_pos_z,body_quat_w,body_quat_x,body_quat_y,body_quat_z,joint_pos00,joint_pos01,joint_pos02,joint_pos03,joint_pos04,joint_pos05,joint_pos06,joint_pos07,joint_pos08,joint_pos09,joint_pos10,joint_pos11,joint_pos12,joint_pos13,joint_pos14,joint_pos15,joint_pos16,joint_pos17,joint_pos18,joint_pos19,joint_pos20,joint_vel_00,joint_vel_01,joint_vel_02,joint_vel_03,joint_vel_04,joint_vel_05,joint_vel_06,joint_vel_07,joint_vel_08,joint_vel_09,joint_vel_10,joint_vel_11,joint_vel_12,joint_vel_13,joint_vel_14,joint_vel_15,joint_vel_16,joint_vel_17,joint_vel_18,joint_vel_19,joint_vel_20
-0.18959,2.556316,0.743397,0.005722,-0.017495,-0.028067,-0.999437,0.042706,-0.913966,-0.145146,-0.556739,1.39084,-0.589494,0.064741,0.777012,0.113808,0.553131,1.204586,-0.494411,-0.027312,-1.173661,0.300949,-1.138948,-1.964228,-0.75421,-0.277404,0.72748,-1.30631,0.030505,-0.346914,0.897635,-0.995967,-2.078068,0.346182,0.851539,-0.14441,-1.049736,0.168823,-1.907119,0.73939,0.35139,-4.253772,7.191692,0.844246,-0.004008,-0.242123,-5.021912,-1.200144,-0.643063
-0.190647,2.55121,0.747951,0.007319,-0.012455,-0.029801,-0.999451,0.043724,-0.919232,-0.128983,-0.578461,1.346811,-0.577914,0.080926,0.776233,0.093893,0.558168,1.16738,-0.478733,-0.020077,-1.252913,0.445106,-1.127291,-1.960684,-0.758646,-0.376246,0.695859,-1.315928,0.028548,-0.173759,0.784964,-1.119633,-2.505487,0.651261,0.743359,0.0406,-0.919669,0.305945,-1.819453,0.741737,0.333773,-3.769749,7.516567,0.198939,0.431752,-0.211637,-5.014154,-2.008423,-0.298369
-0.191638,2.54551,0.751687,0.008481,-0.006746,-0.030838,-0.999466,0.043848,-0.920916,-0.113748,-0.601525,1.29062,-0.563444,0.094476,0.778636,0.077021,0.565368,1.131808,-0.464741,-0.013961,-1.32445,0.601611,-1.13099,-1.946958,-0.762675,-0.477971,0.647143,-1.318244,-0.046645,0.187054,0.704225,-1.185609,-3.194478,0.456962,0.524746,0.309649,-0.752783,0.536343,-1.593834,0.641327,0.356718,-3.275019,7.724221,-0.587559,0.954339,-0.187185,-4.897285,-2.734233,0.095162
-0.192101,2.539352,0.754427,0.009345,-0.000977,-0.031872,-0.999448,0.041858,-0.91175,-0.100814,-0.625885,1.219032,-0.559636,0.101916,0.788619,0.063782,0.579621,1.103627,-0.45308,-0.005808,-1.383914,0.754075,-1.150794,-1.922511,-0.766133,-0.572137,0.586489,-1.312122,-0.089095,0.610183,0.805453,-1.039478,-3.381062,0.403637,0.326806,0.185858,-0.709192,0.456992,-1.424196,0.519548,0.371869,-2.76874,7.726444,-1.507095,1.58726,-0.103614,-4.726683,-3.434732,0.603116
-0.193668,2.533509,0.756842,0.010122,0.002658,-0.031937,-0.999435,0.040284,-0.896509,-0.08153,-0.643104,1.155378,-0.547298,0.107548,0.786071,0.048654,0.583648,1.07484,-0.443959,0.000913,-1.4352,0.910669,-1.191274,-1.883467,-0.76682,-0.667038,0.509754,-1.29412,-0.10666,0.83549,0.881561,-0.829779,-2.969149,0.733197,0.228616,-0.108615,-0.72656,0.242662,-1.266584,0.32313,0.394985,-2.270487,7.279384,-2.332807,2.382681,0.130972,-4.438038,-3.940819,1.304635
-0.195027,2.527123,0.757868,0.010573,0.004721,-0.031699,-0.99943,0.037591,-0.87833,-0.065552,-0.659076,1.100266,-0.530308,0.11106,0.784275,0.034719,0.589328,1.052963,-0.440155,0.009992,-1.474734,1.04525,-1.244106,-1.827204,-0.760894,-0.749659,0.428857,-1.259936,-0.194697,0.956474,0.649512,-0.796495,-2.495116,0.912228,-0.050753,0.00217,-0.673765,0.353192,-0.855055,0.064965,0.492821,-1.637086,5.952887,-2.765462,3.204924,0.46543,-3.722301,-3.960813,2.103829
-0.196284,2.520033,0.757768,0.012842,0.00643,-0.030986,-0.999417,0.032496,-0.85825,-0.055549,-0.674964,1.055573,-0.510809,0.105518,0.786157,0.021703,0.597776,1.040638,-0.441361,0.020626,-1.500684,1.148785,-1.301893,-1.75527,-0.748203,-0.81593,0.351322,-1.209967,-0.224942,1.071997,0.312988,-0.784443,-1.997218,1.018935,-0.484405,0.258946,-0.595082,0.571784,-0.388056,-0.168344,0.549874,-1.082149,4.331488,-2.699182,3.932473,0.738384,-2.915698,-3.664149,2.848074
-0.197904,2.512765,0.756623,0.013906,0.007789,-0.030559,-0.999406,0.028594,-0.835451,-0.053032,-0.690454,1.020377,-0.48955,0.091684,0.794632,0.010916,0.612199,1.037441,-0.446889,0.031986,-1.51802,1.21851,-1.352073,-1.669905,-0.731359,-0.866287,0.282291,-1.146013,-0.109518,1.316795,-0.257751,-0.721422,-1.553732,1.081906,-0.706474,0.732502,-0.609062,0.976492,0.066608,-0.342131,0.623539,-0.825399,2.882254,-2.159616,4.66257,0.912085,-2.208817,-3.226017,3.512928
-0.199369,2.504627,0.754885,0.014251,0.009651,-0.031983,-0.99934,0.028116,-0.805578,-0.065859,-0.703821,0.993424,-0.467533,0.077259,0.815458,-0.002659,0.636835,1.043302,-0.455046,0.045568,-1.5337,1.264075,-1.388277,-1.568768,-0.711719,-0.904283,0.222281,-1.069449,0.053885,1.854588,-1.321726,-1.039949,-0.953104,2.219381,-3.446677,0.898466,-1.297707,1.203305,0.284269,-0.555927,0.931024,-0.462568,1.874909,-1.866224,5.472401,1.143195,-1.729572,-2.670262,4.184958
-0.202496,2.493359,0.752619,0.016716,0.007786,-0.036507,-0.999163,0.030749,-0.761267,-0.105901,-0.732052,0.982253,-0.400775,-0.046183,0.830571,-0.040992,0.660331,1.048812,-0.469126,0.069227,-1.536522,1.293506,-1.426722,-1.451009,-0.685631,-0.93547,0.17548,-0.978615,0.118317,1.754135,-1.89538,-1.006809,-0.440685,2.599383,-3.630061,1.082303,-1.406184,1.23426,0.372288,-0.585562,0.930612,0.037944,1.105452,-1.935926,6.273648,1.44674,-1.273447,-1.978109,4.93112
